sura,ayah,position,word,lemma,root
2,14,2,لَقُ,لَقُ,لقي
2,14,3,ٱلَّذِينَ,الَّذِي,
2,14,4,ءَامَنُ,آمَنَ,أمن
2,14,5,قَالُ,قالَ,قول
2,14,6,ءَامَ,آمَنَ,أمن
2,14,7,وَ,و,
2,14,8,خَلَ,خَلا,خلو
2,14,9,إِلَىٰ,إِلَى,
2,14,10,شَيَٰطِينِ,شَيْطان,
2,14,11,قَالُ,قالَ,قول
2,14,12,إِنَّ,إِنّ,
2,14,13,مَعَ,مَع,
2,14,14,إِنَّ,إِنّ,
2,14,15,نَحْنُ,,
2,14,16,مُسْتَهْزِءُونَ,مُسْتَهْزِء,هزأ
2,15,1,ٱللَّهُ,اللَّه,أله
2,15,2,يَسْتَهْزِئُ,اسْتُهْزِئَ,هزأ
2,15,3,بِ,ب,
2,15,4,يَمُدُّ,و,مدد
2,15,5,فِى,فِي,
2,15,6,طُغْيَٰنِ,طُغْيان,طغي
2,15,7,يَعْمَهُ,يَعْمَهُ,عمه
2,16,1,أُو۟لَٰٓئِ,ذا,
2,16,2,ٱلَّذِينَ,الَّذِي,
2,16,3,ٱشْتَرَ,اشْتَرَى,شري
2,16,4,ٱل,ال,
2,16,5,بِ,ب,
2,16,6,فَ,ف,
2,16,7,رَبِحَت,رَبِحَت,ربح
2,16,8,تِّجَٰرَتُ,تِجارَة,
2,16,9,وَ,و,
2,16,10,كَانُ,كانَ,كون
2,16,11,مُهْتَدِينَ,مُهْتَدي,هدي
2,17,1,مَثَلُ,مَثَل,
2,17,2,كَ,ك,
2,17,3,ٱلَّذِى,الَّذِي,
2,17,4,ٱسْتَوْقَدَ,اسْتَوْقَدَ,وقد
2,17,5,نَارًا,نار,
2,17,6,فَ,ف,
2,17,7,أَضَآءَتْ,أَضاءَ,ضوأ
2,17,8,مَا,ما,
2,17,9,حَوْلَ,حَوْل,حول
2,17,10,ذَهَبَ,ذَهَبَ,ذهب
2,17,11,ٱللَّهُ,اللَّه,أله
2,17,12,بِ,ب,
2,17,13,تَرَكَ,و,ترك
2,17,14,فِى,فِي,
2,17,15,ظُلُمَٰتٍ,ظُلُمَة,
2,17,16,لَّا,لا,
2,17,17,يُبْصِرُ,أَبْصَرَ,بصر
2,18,1,صُمٌّۢ,أَصَمّ,
2,18,2,بُكْمٌ,أَبْكَم,
2,18,3,عُمْىٌ,أَعْمَى,
2,18,4,فَ,ف,
2,18,5,لَا,لا,
2,18,6,يَرْجِعُ,رَجَعَ,رجع
2,19,1,أَوْ,أَو,
2,19,2,كَ,ك,
2,19,3,مِّنَ,مِن,
2,19,4,ٱل,ال,
2,19,5,فِي,فِي,
2,19,6,ظُلُمَٰتٌ,ظُلُمَة,
2,19,7,وَ,و,
2,19,8,وَ,و,
2,19,9,يَجْعَلُ,جَعَلَ,جعل
2,19,10,أَصَٰبِعَ,أَصابِع,
2,19,11,فِىٓ,فِي,
2,19,12,ءَاذَانِ,أُذُن,
2,19,13,مِّنَ,مِن,
2,19,14,ٱل,ال,
2,19,15,حَذَرَ,حَذَر,حذر
2,19,16,ٱلْ,ال,
2,19,17,ٱللَّهُ,و,أله
2,19,18,مُحِيطٌۢ,مُحِيط,حوط
2,19,19,كَٰفِرِينَ,ب,كفر
2,20,1,يَكَادُ,كادَ,كود
2,20,2,ٱلْ,ال,
2,20,3,يَخْطَفُ,خَطِفَ,خطف
2,20,4,أَبْصَٰرَ,بَصَر,
2,20,5,كُلَّمَآ,كُلَّما,كلل
2,20,6,أَضَآءَ,أَضاءَ,ضوأ
2,20,7,لَ,ل,
2,20,8,مَّشَ,مَشَ,مشي
2,20,9,فِي,فِي,
2,20,10,وَ,و,
2,20,11,أَظْلَمَ,أَظْلَمَ,ظلم
2,20,12,عَلَيْ,عَلَى,
2,20,13,قَامُ,قامَ,قوم
2,20,14,وَ,و,
2,20,15,شَآءَ,شاءَ,شيأ
2,20,16,ٱللَّهُ,اللَّه,أله
2,20,17,ذَهَبَ,ل,ذهب
2,20,18,بِ,ب,
2,20,19,وَ,و,
2,20,20,إِنَّ,إِنّ,
2,20,21,ٱللَّهَ,اللَّه,أله
2,20,22,عَلَىٰ,عَلَى,
2,20,23,كُلِّ,كُلّ,
2,20,24,شَىْءٍ,شَىْء,
2,20,25,قَدِيرٌ,قَدِير,
2,21,1,يَٰٓ,ي,
2,21,2,ٱل,ال,
2,21,3,ٱعْبُدُ,عَبَدَ,عبد
2,21,4,رَبَّ,رَبّ,
2,21,5,ٱلَّذِى,الَّذِي,
2,21,6,خَلَقَ,خَلَقَ,خلق
2,21,7,وَ,و,
2,21,8,مِن,مِن,
2,21,9,قَبْلِ,قَبْل,
2,21,10,لَعَلَّ,لَعَلّ,
2,21,11,تَتَّقُ,اتَّقَى,وقي
2,22,1,ٱلَّذِى,الَّذِي,
2,22,2,جَعَلَ,جَعَلَ,جعل
2,22,3,لَ,ل,
2,22,4,ٱلْ,ال,
2,22,5,فِرَٰشًا,فِراش,
2,22,6,وَ,و,
2,22,7,بِنَآءً,بِناء,
2,22,8,أَنزَلَ,و,نزل
2,22,9,مِنَ,مِن,
2,22,10,ٱل,ال,
2,22,11,مَآءً,ماء,
2,22,12,أَخْرَجَ,ف,خرج
2,22,13,بِ,ب,
2,22,14,مِنَ,مِن,
2,22,15,ٱل,ال,
2,22,16,رِزْقًا,رِزْق,
2,22,17,لَّ,ل,
2,22,18,فَ,ف,
2,22,19,تَجْعَلُ,جَعَلَ,جعل
2,22,20,لَّهِ,ل,أله
2,22,21,أَندَادًا,أَنداد,
2,22,22,وَ,و,
2,22,23,تَعْلَمُ,عَلِمَ,علم
2,23,1,وَ,و,
2,23,2,كُن,كانَ,كون
2,23,3,فِى,فِي,
2,23,4,رَيْبٍ,رَيْب,
2,23,5,مِّ,مِن,
2,23,6,نَزَّلْ,نَزَّلَ,نزل
2,23,7,عَلَىٰ,عَلَى,
2,23,8,عَبْدِ,عَبْد,
2,23,9,أْتُ,ف,أتي
2,23,10,بِ,ب,
2,23,11,مِّن,مِن,
2,23,12,مِّثْلِ,مِثْل,
2,23,13,ٱدْعُ,و,دعو
2,23,14,شُهَدَآءَ,شَهِيد,
2,23,15,مِّن,مِن,
2,23,16,دُونِ,دُون,
2,23,17,ٱللَّهِ,اللَّه,أله
2,23,18,إِن,إِن,
2,23,19,كُن,كانَ,كون
2,23,20,صَٰدِقِينَ,صادِق,صدق
2,24,1,فَ,ف,
2,24,2,لَّمْ,لَم,
2,24,3,تَفْعَلُ,فَعَلَ,فعل
2,24,4,وَ,و,
2,24,5,تَفْعَلُ,فَعَلَ,فعل
2,24,6,ٱتَّقُ,ف,وقي
2,24,7,ٱل,ال,
2,24,8,ٱلَّتِى,الَّذِي,
2,24,9,وَقُودُ,وَقُود,
2,24,10,ٱل,ال,
2,24,11,وَ,و,
2,24,12,أُعِدَّتْ,أَعَدَّ,عدد
2,24,13,كَٰفِرِينَ,ل,كفر
2,25,1,بَشِّرِ,و,بشر
2,25,2,ٱلَّذِينَ,الَّذِي,
2,25,3,ءَامَنُ,آمَنَ,أمن
2,25,4,عَمِلُ,و,عمل
2,25,5,صَّٰلِحَٰتِ,ال,صلح
2,25,6,أَنَّ,أَنّ,
2,25,7,لَ,ل,
2,25,8,جَنَّٰتٍ,جَنَّة,
2,25,9,تَجْرِى,جَرَيْ,جري
2,25,10,مِن,مِن,
2,25,11,تَحْتِ,تَحْت,
2,25,12,ٱلْ,ال,
2,25,13,كُلَّمَا,كُلَّما,كلل
2,25,14,رُزِقُ,رَزَقَ,رزق
2,25,15,مِنْ,مِن,
2,25,16,مِن,مِن,
2,25,17,ثَمَرَةٍ,ثَمَرَة,
2,25,18,رِّزْقًا,رِزْق,
2,25,19,قَالُ,قالَ,قول
2,25,20,هَٰ,ه,
2,25,21,ٱلَّذِى,الَّذِي,
2,25,22,رُزِقْ,رَزَقَ,رزق
2,25,23,مِن,مِن,
2,25,24,قَبْلُ,قَبْل,
2,25,25,أُتُ,و,أتي
2,25,26,بِ,ب,
2,25,27,مُتَشَٰبِهًا,مُتَشابِه,شبه
2,25,28,وَ,و,
2,25,29,فِي,فِي,
2,25,30,أَزْوَٰجٌ,زَوْج,
2,25,31,مُّطَهَّرَةٌ,مُطَهَّرَة,طهر
2,25,32,وَ,و,
2,25,33,فِي,فِي,
2,25,34,خَٰلِدُونَ,خالِد,خلد
2,26,1,إِنَّ,إِنّ,
2,26,2,ٱللَّهَ,اللَّه,أله
2,26,3,لَا,لا,
2,26,4,يَسْتَحْىِۦٓ,يَسْتَحْىِۦ,حيي
2,26,5,أَن,أَن,
2,26,6,يَضْرِبَ,ضَرَبَ,ضرب
2,26,7,مَثَلًا,مَثَل,
2,26,8,مَّا,ما,
2,26,9,بَعُوضَةً,بَعُوضَة,
2,26,10,فَ,ف,
2,26,11,فَوْقَ,فَوْق,فوق
2,26,12,فَ,ف,
2,26,13,ٱلَّذِينَ,الَّذِي,
2,26,14,ءَامَنُ,آمَنَ,أمن
2,26,15,يَعْلَمُ,ف,علم
2,26,16,أَنَّ,أَنّ,
2,26,17,ٱلْ,ال,
2,26,18,مِن,مِن,
2,26,19,رَّبِّ,رَبّ,
2,26,20,وَ,و,
2,26,21,ٱلَّذِينَ,الَّذِي,
2,26,22,كَفَرُ,كَفَرَ,كفر
2,26,23,يَقُولُ,ف,قول
2,26,24,مَاذَآ,ماذا,
2,26,25,أَرَادَ,أَرادَ,رود
2,26,26,ٱللَّهُ,اللَّه,أله
2,26,27,بِ,ب,
2,26,28,مَثَلًا,مَثَل,
2,26,29,يُضِلُّ,أَضَلَّ,ضلل
2,26,30,بِ,ب,
2,26,31,كَثِيرًا,كَثِير,
2,26,32,يَهْدِى,و,هدي
2,26,33,بِ,ب,
2,26,34,كَثِيرًا,كَثِير,
2,26,35,وَ,و,
2,26,36,يُضِلُّ,أَضَلَّ,ضلل
2,26,37,بِ,ب,
2,26,38,إِلَّا,إِلّا,
2,26,39,فَٰسِقِينَ,ال,فسق
2,27,1,ٱلَّذِينَ,الَّذِي,
2,27,2,يَنقُضُ,نَقَضَتْ,نقض
2,27,3,عَهْدَ,عَهْد,
2,27,4,ٱللَّهِ,اللَّه,أله
2,27,5,مِنۢ,مِن,
2,27,6,بَعْدِ,بَعْد,
2,27,7,مِيثَٰقِ,مِيثاق,
2,27,8,يَقْطَعُ,و,قطع
2,27,9,مَآ,ما,
2,27,10,أَمَرَ,أَمَرَ,أمر
2,27,11,ٱللَّهُ,اللَّه,أله
2,27,12,بِ,ب,
2,27,13,أَن,أَن,
2,27,14,يُوصَلَ,يَصِلُ,وصل
2,27,15,يُفْسِدُ,و,فسد
2,27,16,فِى,فِي,
2,27,17,ٱلْ,ال,
2,27,18,أُو۟لَٰٓئِ,ذا,
2,27,19,هُمُ,,
2,27,20,خَٰسِرُونَ,ال,خسر
2,28,1,كَيْفَ,كَيْف,كيف
2,28,2,تَكْفُرُ,كَفَرَ,كفر
2,28,3,ٱللَّهِ,ب,أله
2,28,4,كُن,و,كون
2,28,5,أَمْوَٰتًا,مَيِّت,
2,28,6,أَحْيَٰ,ف,حيي
2,28,7,ثُمَّ,ثُمّ,
2,28,8,يُمِيتُ,أَماتَ,موت
2,28,9,ثُمَّ,ثُمّ,
2,28,10,يُحْيِي,أَحْيا,حيي
2,28,11,ثُمَّ,ثُمّ,
2,28,12,إِلَيْ,إِلَى,
2,28,13,تُرْجَعُ,رَجَعَ,رجع
2,29,1,هُوَ,,
2,29,2,ٱلَّذِى,الَّذِي,
2,29,3,خَلَقَ,خَلَقَ,خلق
2,29,4,لَ,ل,
2,29,5,مَّا,ما,
2,29,6,فِى,فِي,
2,29,7,ٱلْ,ال,
2,29,8,جَمِيعًا,جَمِيع,
2,29,9,ثُمَّ,ثُمّ,
2,29,10,ٱسْتَوَىٰٓ,اسْتَوَى,سوي
2,29,11,إِلَى,إِلَى,
2,29,12,ٱل,ال,
2,29,13,سَوَّىٰ,ف,سوي
2,29,14,سَبْعَ,سَبْع,
2,29,15,سَمَٰوَٰتٍ,سَماء,
2,29,16,وَ,و,
2,29,17,بِ,ب,
2,29,18,شَىْءٍ,شَىْء,
2,29,19,عَلِيمٌ,عَلِيم,
2,30,1,وَ,و,
2,30,2,قَالَ,قالَ,قول
2,30,3,رَبُّ,رَبّ,
2,30,4,لِ,ل,
2,30,5,إِنِّ,إِنّ,
2,30,6,جَاعِلٌ,جاعِل,جعل
2,30,7,فِى,فِي,
2,30,8,ٱلْ,ال,
2,30,9,خَلِيفَةً,خَلِيفَة,
2,30,10,قَالُ,قالَ,قول
2,30,11,تَجْعَلُ,أ,جعل
2,30,12,فِي,فِي,
2,30,13,مَن,مَن,
2,30,14,يُفْسِدُ,أَفْسَدُ,فسد
2,30,15,فِي,فِي,
2,30,16,يَسْفِكُ,و,سفك
2,30,17,ٱل,ال,
2,30,18,وَ,و,
2,30,19,نُسَبِّحُ,سَبَّحَ,سبح
2,30,20,بِ,ب,
2,30,21,نُقَدِّسُ,و,قدس
2,30,22,لَ,ل,
2,30,23,قَالَ,قالَ,قول
2,30,24,إِنِّ,إِنّ,
2,30,25,أَعْلَمُ,عَلِمَ,علم
2,30,26,مَا,ما,
2,30,27,لَا,لا,
2,30,28,تَعْلَمُ,عَلِمَ,علم
2,31,1,عَلَّمَ,و,علم
2,31,2,ءَادَمَ,آدَم,أدم
2,31,3,ٱلْ,ال,
2,31,4,كُلَّ,كُلّ,
2,31,5,ثُمَّ,ثُمّ,
2,31,6,عَرَضَ,عَرَضَ,عرض
2,31,7,عَلَى,عَلَى,
2,31,8,ٱلْ,ال,
2,31,9,قَالَ,ف,قول
2,31,10,أَنۢبِـُٔ,أَنۢبَأَ,نبأ
2,31,11,بِ,ب,
2,31,12,هَٰٓ,ه,
2,31,13,إِن,إِن,
2,31,14,كُن,كانَ,كون
2,31,15,صَٰدِقِينَ,صادِق,صدق
2,32,1,قَالُ,قالَ,قول
2,32,2,سُبْحَٰنَ,سُبْحان,
2,32,3,لَا,لا,
2,32,4,عِلْمَ,عِلْم,
2,32,5,لَ,ل,
2,32,6,إِلَّا,إِلّا,
2,32,7,مَا,ما,
2,32,8,عَلَّمْ,عَلَّمَ,علم
